_id,en.name,en.address,en.location,map,website,latitude,longitude
-98,Buenos Aires Eco-Park,"República de la India, C1425 CABA, Argentina","Buenos Aires, Argentina",https://goo.gl/maps/LtEhMY2XMbJ2,http://www.buenosaires.gob.ar/ecoparque,-34.5781333,-58.4853221
-51,Calgary Zoo,"210 St. George's Drive NE, Calgary, AB T2E 7V6, Canada","Calgary, Alberta, Canada",https://goo.gl/maps/gXaumYRHucJ2,https://www.calgaryzoo.com/,51.0459038,-114.0258625
-68,Safari Niagra,"2821 Stevensville Rd, Stevensville, ON L0S 1S0, Canada","Fort Erie, Ontario, Canada",https://goo.gl/maps/PkYjqGk5rX22,https://safariniagara.com/,42.9523118,-79.057585
-76,Assiniboine Park Zoo,"2595 Roblin Blvd, Winnipeg, MB R3R 2N7, Canada","Winnipeg, Manitoba, Canada",https://goo.gl/maps/yA6s5Fk3SZx,http://www.assiniboineparkzoo.ca/,49.8683326,-97.3106535
-82,Edmonton Valley Zoo,"13315 Buena Vista Road & 87th Avenue, Edmonton, AB T5J 2R7, Canada","Edmonton, Alberta, Canada",https://goo.gl/maps/34HUM7tYy542,https://www.edmonton.ca/attractions_events/edmonton-valley-zoo.aspx,53.5130356,-113.5674656
-86,Greater Vancouver Zoo,"5048 264 St, Aldergrove, BC V4W 1N7, Canada","Vancouver, British Columbia, Canada",https://goo.gl/maps/TxXkYjME52C2,https://gvzoo.com/,49.1238474,-122.8687328
-94,Granby Zoo,"1050 Boulevard David-Bouchard N, Granby, QC J2H 0Y6, Canada","Granby, Quebec, Canada",https://goo.gl/maps/E9eNEDvNPj72,https://zoodegranby.com/,45.4197484,-72.7230226
-96,Toronto Zoo,"2000 Meadowvale Rd, Toronto, ON M1B 5K7, Canada","Toronto, Ontario, Canada",https://goo.gl/maps/65RpCZ7DA5T2,http://www.torontozoo.com/,43.8125009,-79.2037486
-106,Saskatoon Forestry Farm Park & Zoo,"1903 Forestry Farm Park Dr, Saskatoon, SK S7S 1G9, Canada","Saskatoon, Saskatchewan, Canada",https://goo.gl/maps/1YnG95vKmtj,https://www.saskatoon.ca/parks-recreation-attractions/events-attractions/saskatoon-forestry-farm-park-zoo,52.1584862,-106.6062401
-56,Chilean National Zoo,"Providencia, Santiago Metropolitan Region, Chile","Santiago, Chile",https://goo.gl/maps/CtRXBeoUgYF2,http://www.parquemet.cl/,-33.4298427,-70.704131
-5,Chonquing Zoo,"Chongqing Zoo, Jiulongpo Qu, China, 400080",Jiulongpo Qu,https://goo.gl/maps/rsck5UV8B552,http://www.cqzoo.com,29.503557,106.5037493
-39,Shanghai Zoo,"No. 2368 Hongqiao Road, Changning District, Shanghai","Changning District, Shanghai",https://goo.gl/maps/XGNrUzCRqB42,http://www.shanghaizoo.cn/,31.1902231,121.3590564
-1,Ichikawa Zoological & Botanical Gardens,"Ichikawa City Zoo, Japan, 〒272-0801 Chiba Prefecture, Ichikawa, 大町284番１ 外","Ichikawa, Chiba Prefecture",https://goo.gl/maps/WSyNu7HFhH42,http://www.city.ichikawa.lg.jp/zoo/index.html,35.7642063,139.9638014
-2,Kyoto City Zoo,"Okazaki Hoshojicho, Sakyo Ward, Kyoto, Kyoto Prefecture 606-8333, Japan","Kyoto City, Kyoto Prefecture, Sakyo Ward",https://goo.gl/maps/BzPvCJ64eiB2,http://www5.city.kyoto.jp/zoo/,35.0126853,135.7839226
-3,Nagasaki Bio Park,"2291-1 Seihicho Nakayamago, Saikai, Nagasaki Prefecture 851-3302, Japan",Nagasaki Prefecture,https://goo.gl/maps/L1wXjRmYYeo,http://www.biopark.co.jp,32.988408,129.7810003
-4,Yumemigasaki Zoological Park,"1 Chome-2-1 Minamikase, Saiwai-ku, Kawasaki-shi, Kanagawa-ken 212-0055, Japan","Kawasaki, Kanagawa Prefecture",https://goo.gl/maps/kfMhVjS52Gs,http://www.city.kawasaki.jp/saiwai/page/0000045037.html,35.5495511,139.6631391
-6,Tokuyama Zoo,"5846 Tokuyama, Shunan, Yamaguchi Prefecture 745-0851, Japan","Shūnan, Yamaguchi Prefecture",https://goo.gl/maps/bMAGo54PQxq,http://www.city.shunan.lg.jp/site/zoo/,34.0623441,131.8139387
-7,Sapporo Maruyama Zoo,"Japan, 〒064-0959 Hokkaido, Sapporo, Chuo Ward, 宮ケ丘3番地１","Sapporo, Hokkaido",https://goo.gl/maps/EY3uZRXNWNr,http://www.city.sapporo.jp/zoo/index.html,43.0514641,141.3056561
-8,Chiba Zoological Park,"280番地 Minamotocho, Wakaba Ward, Chiba, Chiba Prefecture 264-0037, Japan",Chiba,https://goo.gl/maps/14c7BwdSTkr,https://www.city.chiba.jp/zoo/,35.6451063,140.1243959
-9,Saitama Children's Zoo,"554 Iwadono, Higashimatsuyama, Saitama Prefecture 355-0065, Japan","Highashimatsuyama, Saitama",https://goo.gl/maps/C8F9LtGktcH2,http://www.parks.or.jp/sczoo/,35.9993587,139.3728133
-10,Nagano Chausuyama Zoo,"570-1 Shinonoiutabi, Nagano, Nagano Prefecture 388-8016, Japan","Nagano, Nagano Prefecture",https://goo.gl/maps/3sQ2w9qjTdS2,http://www.chausuyama.com/,36.5867283,138.1132733
